name,city,area,cuisines_clean,rating_clean,delivery_mins,minDeliveryTime,maxDeliveryTime,cost_two_clean,visibility_index
Ancient CHINESE HOUSE,Bangalore,Koramangala,Chinese,4.1,62,62,62,300,18.92199412
Polar Bear,Bangalore,Shankarapura,"Desserts, Fast, Food",4.5,38,38,38,300,20.76804233
MTR,Bangalore,Ashok Nagar,"South, Indian",4.4,28,28,28,300,30.39852103
A2B Veg,Bangalore,Wilson Garden,"South, Indian, North, Indian, Sweets, Chinese",4.2,39,39,39,300,29.01677007
Chopstick,Bangalore,Banashankari,"Chinese, Thai, Seafood, Asian, Combo, Healthy, Food, Beverages",3.8,51,51,51,350,17.53745796
Andhra Gunpowder,Bangalore,Central Bangalore,"Andhra, Biryani",4.3,33,33,33,400,26.73140623
Chinese BAE,Bangalore,Banashankari,"Chinese, Thai, Seafood, Asian, Combo, Healthy, Food, Beverages",3.7,51,51,51,400,23.00144257
Utse Kitchen,Bangalore,Shivaji Nagar,"Chinese, Tibetan, Nepalese, Pan-Asian",4.2,51,51,51,500,19.38350617
Tibetan Mother's Kitchen,Bangalore,Koramangala,"Chinese, Tibetan, Thai",4.1,51,51,51,250,25.48808501
Dal Roti Sabji,Bangalore,New Tippasandra,"North, Indian",4.5,54,54,54,150,20.76804233
Sri Krishna Sagar,Bangalore,Koramangala,"South, Indian, North, Indian, Fast, Food, Beverages, Jain",4.2,53,53,53,126,29.01677007
Chungs Chinese Corner - Cunningham Road,Bangalore,Vasanth Nagar,"Chinese, Snacks",4.2,36,36,36,450,19.38350617
The Purple Pan,Bangalore,Rajajinagar,"Mughlai, North, Indian, Chinese, Arabian",4.1,56,56,56,400,28.3258946
Halli Donne Biryani,Bangalore,Koramangala,"South, Indian",3.7,52,52,52,200,14.54775484
Asha Sweets Center,Bangalore,Basavanagudi,Indian,4.3,47,47,47,1000,19.84501822
Veena Stores,Bangalore,Malleshwaram,"South, Indian",4.5,56,56,56,100,31.08939651
Uttara karnatakadha Jolada rotti Mattu Chapati Angadi ,Bangalore,Basavanagudi,"South, Indian, Snacks, Indian",4.3,49,49,49,100,19.84501822
Taco Bell,Bangalore,Central Bangalore,Mexican,4.2,63,63,63,300,19.38350617
Anand Sweets and Savouries,Bangalore,Shivaji Nagar,"Sweets, Chaat, Snacks, Desserts, North, Indian",4.6,39,39,39,200,28.59638806
Biryani Canteen,Bangalore,Rajajinagar,"Biryani, Chinese, North, Indian, Tandoor",4,58,58,58,400,18.46048207
Nando's,Bangalore,Indiranagar,"Fast, Food, Portuguese, African, Grill, Salads",4.3,53,53,53,450,26.73140623
Sandwich Guru,Bangalore,Basavanagudi,"Snacks, Beverages",4.3,50,50,50,99,19.84501822
Aroma of Asia,Bangalore,Pulikeshi Nagar,Chinese,4.2,45,45,45,400,19.38350617
Khichdi Experiment,Bangalore,Koramangala,"Home, Food, Indian, Healthy, Food, North, Indian, Snacks, Maharashtrian, Sweets, South, Indian, Combo, Desserts, Beverages, Kebabs",4.5,49,49,49,250,20.76804233
Paradise Biryani,Bangalore,Rajajinagar,"Biryani, Kebabs",3.9,59,59,59,400,17.99897002
California Burrito,Bangalore,Central Banglore,"Mexican, American, Salads, Continental, Keto, Healthy, Food",4.5,35,35,35,250,31.08939651
Srinidhi Sagar,Bangalore,Indiranagar,"South, Indian, North, Indian, Indian, Chinese, Beverages, Desserts",4,61,61,61,200,15.72730253
Paratha Experiment,Bangalore,Koramangala,"North, Indian, Punjabi, Home, Food, Indian, Snacks, Combo, Desserts, Beverages, South, Indian, Continental, Chettinad, Healthy, Food, Chinese, Sweets",4.3,52,52,52,200,16.90685022
India Bistro,Bangalore,Indiranagar,"North, Indian, Biryani, Kebabs, Indian, Mughlai, Seafood, Desserts, Beverages",4.4,59,59,59,750,20.30653027
Sampurna - The House of Southern Flavours,Bangalore,Jogupalya,"South, Indian, Hyderabadi, Andhra, Biryani, Desserts, Snacks",4.2,45,45,45,200,19.38350617
Kerala Pavilion,Bangalore,Domlur,"Kerala, Seafood",4.1,55,55,55,300,18.92199412
Kwality Walls Frozen Dessert and Ice Cream Shop,Bangalore,Basavanagudi,"Ice, Cream",4.5,46,46,46,300,13.70035097
Amul Ice-cream parlour,Bangalore,Rajajinagar,"Ice, Cream",,51,51,51,200,
ITC Hotels - Biryani & Pulao Collection,Bangalore,Ashok Nagar,"Biryani, North, Indian, Desserts",,55,55,55,1000,
Anupams Coast II Coast,Bangalore,Ashok Nagar,"Mangalorean, Chinese, North, Indian, Mughlai, Punjabi, Awadhi",4,36,36,36,1200,18.46048207
Grill Biriyanis,Bangalore,Malleshwaram,"Biryani, Andhra, Tandoor, Grill",3.5,59,59,59,300,13.76138971
The Betel Leaf Co.,Bangalore,Sampangiram Nagar,"Paan, Desserts",4.5,51,51,51,100,20.76804233
Kaati Zone Rolls & Wraps,Bangalore,Kodihalli,"Fast, Food, Beverages, Bengali, Biryani, Indian, North, Indian, Snacks, Street, Food",4.3,59,59,59,150,19.84501822
Treat,Bangalore,Indiranagar,"Mughlai, North, Indian",4.5,56,56,56,800,20.76804233
Baskin Robbins,Bangalore,Ashok Nagar,Desserts,4.4,35,35,35,400,17.30003278
Upahara Darshini KIMS Canteen,Bangalore,VV Puram,"South, Indian, North, Indian, Desserts, Chinese",4.4,45,45,45,400,13.39589873
Shree Veerabhadreshwara Rotti Holige Mane,Bangalore,Rajajinagar,"South, Indian",4.1,56,56,56,200,18.92199412
Art Of Delight,Bangalore,Ashok Nagar,"Ice, Cream, Desserts, Beverages",4.6,34,34,34,250,21.22955438
Kouzina Kafe  The Food Court,Bangalore,Central Bangalore,"Bakery, Desserts, Ice, Cream, Beverages, Fast, Food",,48,48,48,200,
In Wok,Bangalore,Richmond Town,Chinese,4.3,44,44,44,500,19.84501822
Tadka Singh,Bangalore,Ashok Nagar,"Punjabi, North, Indian",4.2,38,38,38,300,19.38350617
The Dessert Zone,Bangalore,Central Bangalore,"Bakery, Desserts, Ice, Cream, Beverages",3.9,47,47,47,200,11.87363751
Malabar Biriyani World,Bangalore,Adugodi,"Biryani, Kerala, Seafood",4.3,55,55,55,250,13.09144648
Burger Seigneur,Bangalore,Ashok Nagar,"American, Beverages",4.3,34,34,34,1200,19.84501822
Sweet Truth - Cake and Desserts,Bangalore,Shantinagar,"Ice, Cream, Bakery, Desserts, Beverages",,45,45,45,450,
Shanthi Sagar Grand,Bangalore,Malleshwaram,"North, Indian, South, Indian, Fast, Food",4,57,57,57,200,18.46048207
Airlines Hotel,Bangalore,Ashok Nagar,"South, Indian, North, Indian",4.3,32,32,32,500,19.84501822
Behrouz Biryani,Bangalore,Shantinagar,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North, Indian, Persian, Desserts",4.3,48,48,48,500,19.84501822
Subway,Bangalore,Ashok Nagar,"Fast, Food, Salads, Snacks, Desserts, Beverages",4.4,38,38,38,350,20.30653027
Palmgrove Ballal Residency,Bangalore,Ashok Nagar,"Chinese, Coastal, Desserts, Fast, Food, Jain, North, Indian, South, Indian",4.4,37,37,37,400,20.30653027
Antarastriya,Bangalore,Basavanagudi,"Chinese, Tibetan, Mexican, Italian-American",,53,53,53,200,
Jalpaan,Bangalore,Jayanagar,"Desserts, Italian, Jain, Mexican",4.4,54,54,54,650,20.30653027
BOX8 - Desi Meals,Bangalore,New Tippasandra,"North, Indian, Biryani, Combo, Snacks",4.1,61,61,61,250,18.92199412
1947 Restaurant,Bangalore,Malleshwaram,"North, Indian, Chinese, Desserts, Biryani",4.4,60,60,60,900,20.30653027
The Fatty Bao,Bangalore,Ashok Nagar,Asian,4.3,35,35,35,1000,19.84501822
Suzy Q by 1522,Bangalore,Central Bangalore,"Continental, Indian, Seafood, Asian, Chaat, Desserts",4.3,47,47,47,800,13.09144648
Makers of Milkshakes,Bangalore,Koramangala,"Beverages, Desserts",4.2,56,56,56,260,16.51366766
