name,city,area,cuisines_clean,rating_clean,delivery_mins,minDeliveryTime,maxDeliveryTime,cost_two_clean,visibility_index
7 Days,Kolkata,Bidhannagar,Indian,3.9,72,66,66,600,11.87363751
The Masala Club,Kolkata,Kalighat,"Fast, Food, Chinese",4.6,72,69,69,250,18.08639791
M Hub,Kolkata,Lake Town,"Pizzas, Pastas, Fast, Food, Beverages",,78,72,72,200,
Crave Foodworks,Kolkata,Ballygunge,"Italian, Chinese, Mexican, Mediterranean, Thai",4.3,76,73,73,1200,16.90685022
@ Thala-E-Wah,Kolkata,Alipore,"Indian, Chinese",,69,66,66,200,
Kimli,Kolkata,Gariahat,"Chinese, Seafood",4.4,69,66,66,600,20.30653027
Ananda Mela Confectionery,Kolkata,Dumdum,"Indian, Bakery, Biryani",,75,69,69,300,
Sir Oven O bake,Kolkata,Kalighat,Pizzas,,70,67,67,400,
Cafe Offbeat - Up There,Kolkata,Topsia,"Asian, Continental, North, Indian, Thai",,80,72,72,1500,
Biryani Corner,Kolkata,Kalighat,"Biryani, Indian, Chinese, Tandoor",4.1,73,70,70,300,12.48254199
Aatithya,Kolkata,Lake Town,"Chinese, Bengali",,75,69,69,400,
Banana Leaf,Kolkata,Golpark,"South, Indian",4.4,72,69,69,200,30.39852103
Buddha Bites-Jessore Road,Kolkata,Lake Town,"Chinese, Asian, Fast, Food, Snacks, Tibetan",3.7,74,68,68,300,25.56239268
Bachan's Tandoori Club,Kolkata,Kalighat,Tandoor,4.5,67,64,64,250,27.97472745
Kurry Patta,Kolkata,Ballygunge,"Chinese, North, Indian, South, Indian",4.5,71,68,68,250,27.97472745
Sabita Restaurant,Kolkata,Dum Dum,"North, Indian, Chinese, Bengali, Biryani, Indian, Tandoor",4,74,68,68,300,27.63501912
A1 Haji Fast Food Centre,Kolkata,Dum Dum,"Biryani, North, Indian, Street, Food",4.2,72,66,66,300,19.38350617
Tandoor Box,Kolkata,Baranagar,"Tandoor, Kebabs, Combo, Mughlai, North, Indian, Thalis",4.3,71,65,65,300,29.70764555
Galawat,Kolkata,Bidhannagar,"Biryani, Kebabs, Lucknowi, North, Indian",4.3,67,61,61,200,19.84501822
The Banglar Rannaghar,Kolkata,Gariahat,"Indian, Tandoor, Combo",,76,73,73,300,
Etsetmix By Hanglaatherium,Kolkata,Ballygunge,"Chinese, Indian",4.4,72,69,69,350,20.30653027
Haji Biryani House,Kolkata,Alipore,Biryani,2.9,74,71,71,280,8.829115069
Burnt Garlic,Kolkata,Kalighat,"Continental, Chinese, Italian, American",,79,76,76,1100,
Uncle Peter's Pancakes,Kolkata,Kalighat,"Continental, Desserts, Waffle, Snacks, Beverages",4.3,75,72,72,300,26.73140623
The lassi Pub,Kolkata,Kalighat,"Desserts, Beverages",,73,70,70,300,
Qfc,Kolkata,Sinthee,Indian,3.5,80,74,74,250,10.65582853
THE FOOD TOWER,Kolkata,Lake Town,"Indian, Chinese, Combo",,74,68,68,250,
Delicious Dhaba,Kolkata,Ruby Area,Indian,3.4,74,70,70,200,13.36820715
Harry's Bistro,Kolkata,Bidhannagar,"Indian, Asian, Chinese, Desserts, Beverages, Biryani",4.3,68,62,62,200,19.84501822
IMMUNNO KITCHEN,Kolkata,South Kolkata,"Seafood, Chinese",,70,67,67,250,
Nusrats,Kolkata,South Kolkata,"Biryani, Indian, Combo, Beverages, Fast, Food",4.7,70,67,67,150,21.69106643
Bedouin - Sher e Bengal,Kolkata,Gariahat,"North, Indian, Chinese, Bengali",,70,67,67,500,
New Banglar Rannaghor,Kolkata,Gariahat,"Bengali, Indian, Chinese, Snacks",4,78,75,75,200,18.46048207
BUNAPHILE,Kolkata,South Kolkata,Continental,,80,77,77,300,
House of Wong by Mamasan,Kolkata,Southern Avenue Gariahat,"Asian, Chinese",4.2,85,82,82,400,12.78699424
Purbani Restaurant & Hotel,Kolkata,Gariahat,"Chinese, North, Indian",,75,72,72,450,
Roastery Coffee House,Kolkata,Gariahat,"Continental, Pastas, Pizzas, Beverages, Desserts, Italian, American",4.6,76,73,73,750,28.59638806
Sub Spot,Kolkata,Kalighat,"Healthy, Food, Salads, Fast, Food",,73,70,70,200,
ZEESHAN D.P. PARK,Kolkata,South Kolkata,"Tandoor, Snacks, Biryani",4.4,68,65,65,250,20.30653027
Down The Lane,Kolkata,Salt Lake,"Continental, Italian, Mexican",4.3,69,63,63,800,13.09144648
Foodjet,Kolkata,Dum Dum,"Indian, Chinese, Biryani, Combo",4.3,75,69,69,300,19.84501822
@69 Food Zone,Kolkata,Baranagar,"Fast, Food, Indian, Chinese",3.8,69,63,63,200,23.62310318
The Grub Club,Kolkata,Golpark,"Italian, Chinese, Thai",4.3,69,66,66,400,29.70764555
OverDose,Kolkata,Kalighat,Chinese,3.9,70,67,67,400,24.24476379
MASALA DARBAR,Kolkata,Salt Lake,"North, Indian, Chinese, Tandoor, Biryani",,67,61,61,200,
Gusto Cafe & Kitchen,Kolkata,Golpark,"Continental, Italian, Pizzas, Chinese, Fast, Food",,78,75,75,500,
Kaafila,Kolkata,Bidhannagar,"Mughlai, North, Indian",3.9,71,65,65,1600,15.33411997
 Conclave at Afraa,Kolkata,Bidhannagar,"Italian, Indian, Continental",3.9,75,69,69,850,15.33411997
The Daily cafe,Kolkata,Kalighat,"Continental, Indian",4.5,70,67,67,1000,20.76804233
Taste-Ride,Kolkata,Kalighat,"Chinese, Indian, Continental",3.9,75,72,72,500,17.99897002
CALCUTTA CABIN,Kolkata,Sinthee,Bengali,3.7,78,72,72,200,14.54775484
Poached Onion,Kolkata,Salt Lake,"Indian, Kebabs",,73,67,67,700,
Box It Up,Kolkata,Sinthee,"Indian, Bengali, Chinese, Combo, Oriental, Continental, Pizzas, Snacks, Beverages, North, Indian, Healthy, Food",3.9,78,72,72,200,17.99897002
China Box,Kolkata,Dumdum,Chinese,,82,76,76,300,
FoodPath,Kolkata,Sinthee,"Italian, Snacks, Chinese, Desserts, Ice, Cream, Indian, Combo, Beverages, Kebabs, Healthy, Food, Continental",4.1,74,68,68,400,25.48808501
Kurseong Korner,Kolkata,Bidhannagar,Chinese,4.1,67,61,61,600,18.92199412
Samrat Shazada,Kolkata,South Kolkata,"Chinese, Mughlai, Indian, Snacks, Combo",,71,68,68,200,
Crossroad Crystal - Golpark,Kolkata,Golpark,"Indian, Chinese, Bengali",4.1,71,68,68,350,16.12048509
Tinni's Kitchen,Kolkata,Gariahat,"Indian, Thalis, Beverages",4.2,69,66,66,200,19.38350617
MINI ROYAL,Kolkata,Lake Town,"Indian, Chinese, Biryani, Snacks",,73,67,67,400,
Harpreet Auntie's Thali Junction,Kolkata,Salt Lake,"Indian, Chinese, Thalis",,65,59,59,600,
Fresh-N-Up,Kolkata,Gariahat,Chinese,4.4,66,63,63,450,20.30653027
wakhani,Kolkata,Dumdum,Indian,,75,69,69,300,
Afraa Deli-Sector 1,Kolkata,Bidhannagar,"Continental, Fast, Food, Italian, Beverages",4.3,67,61,61,700,16.90685022
Darchini,Kolkata,Baranagar,Indian,3.8,70,64,64,200,11.56918526
Chinese Combo World,Kolkata,Golpark,"Chinese, Combo",3.7,72,69,69,300,23.00144257
Biryani by Kilo,Kolkata,Dhakuria,"Biryani, Hyderabadi, Lucknowi, Kebabs",4.1,87,84,84,600,28.3258946
Anand Food Plaza,Kolkata,Lake Town,"North, Indian, South, Indian",4.1,75,69,69,200,18.92199412
aamio bengali,Kolkata,Lake Town,"Indian, Seafood, Beverages",3.8,84,78,78,200,14.9409374
Chez - Pan Oriental Kitchen,Kolkata,Ballygunge,"Chinese, Pan-Asian, Asian, Burmese, Thai",4.4,75,72,72,350,30.39852103
PIPIZ KITCHEN,Kolkata,Lake Town,"Home, Food, Bengali, Indian, Thalis, Snacks",3.8,81,75,75,250,11.56918526
La Maison Des Delices Patisserie & Bistro,Kolkata,South Kolkata,"Bakery, Continental, Pizzas",,75,72,72,1000,
24 Grains,Kolkata,Baranagar,"Indian, Chinese, Biryani, Tandoor, North, Indian, Kebabs, Middle, Eastern",4.2,66,63,63,500,16.51366766
Chata Chati,Kolkata,South Kolkata,"Snacks, Indian",,70,67,67,250,
Fusion Fantasea,Kolkata,Ballygunge,"Coastal, Arabian, Tribal",4.2,77,74,74,800,16.51366766
Dawat Patrified,Kolkata,Salt Lake,"Chinese, Indian, Desserts",,69,63,63,500,
Tribe,Kolkata,Gariahat,American,4.5,74,71,71,800,13.70035097
Cafe Koffee Kotha - Quick Bites & Continental,Kolkata,Gariahat,"Continental, American, Mexican, Beverages, Desserts",,74,71,71,300,
English Bazar Express,Kolkata,South Kolkata,"Chinese, Thai",,75,72,72,250,
Asian Deli,Kolkata,Ballygunge,"Indian, Chinese",4.1,78,75,75,500,12.48254199
RoadHouzz,Kolkata,Ballygunge,"Continental, Italian, Oriental, Tandoor",4.3,78,75,75,900,13.09144648
Uttarayan Fast Food And Snacks,Kolkata,North Dumdum,"Fast, Food, Seafood",4.2,64,61,61,250,16.51366766
The Lunch Box Company,Kolkata,South Kolkata,Indian,,72,69,69,300,
Gupta Brother and Sisters,Kolkata,Kasba,"Bengali, Indian, Combo",4.3,74,70,70,150,19.84501822
Hot Spring Kitchen and Lounge,Kolkata,South Kolkata,Chinese,,79,76,76,500,
Marco Polo,Kolkata,Kalighat,"Indian, Continental",4.3,74,71,71,1000,19.84501822
Chaplin Chinese Restaurant,Kolkata,Sinthee,"North, Indian",4,78,72,72,300,12.17808975
Wise Owl Steak House,Kolkata,Ballygunge,"Continental, European",4,75,72,72,1000,15.72730253
LITTLE ASIA,Kolkata,South Kolkata,"Chinese, Fast, Food",4.5,73,70,70,300,20.76804233
Wise Owl The Coffee Shop,Kolkata,Ballygunge,"Continental, American, Cafe",4.3,76,73,73,700,19.84501822
Tero Parbon,Kolkata,Gariahat,Bengali,4.3,72,69,69,500,19.84501822
Downtown Foodstop,Kolkata,Dum Dum,"North, Indian, Mughlai",4,82,76,76,300,12.17808975
Mrs. Messy,Kolkata,Ruby Area,"Indian, Chinese",,70,66,66,250,
The Wall,Kolkata,Ballygunge,"Chinese, Seafood, Thai, Japanese",4.1,75,72,72,1300,18.92199412
Petuk Hori,Kolkata,Sinthee,"Combo, Bengali, Thalis",,85,79,79,200,
The Red Asian,Kolkata,Lake Town,"Chinese, Combo, Continental, Fast, Food, Snacks, Pastas, North, Indian, Indian",4.3,74,68,68,300,19.84501822
Fiery Drumstick,Kolkata,South Kolkata,Chinese,,72,69,69,300,
Uns Cafe & Dining,Kolkata,Gariahat,"Indian, Bengali, Kebabs, Snacks, Combo",4.5,78,75,75,200,13.70035097
TBC BOWLZ,Kolkata,South Kolkata,"Indian, Chinese, Continental",4.4,76,73,73,200,17.30003278
The Green House Cafe,Kolkata,Hindustan Park,"Italian, Chinese",,74,71,71,500,
Sheerazi,Kolkata,Kasba,"North, Indian, Chinese",4.3,68,64,64,350,16.90685022
ebowl,Kolkata,Dumdum,"Biryani, Indian, Chinese",4.3,69,63,63,300,19.84501822
DESI CHIN,Kolkata,South Kolkata,Chinese,,74,71,71,200,
Kathi On The Go,Kolkata,Lake Town,"Biryani, Indian, Kebabs, Mughlai, Fast, Food",3.9,84,78,78,300,26.94414364
Mishti Ghor,Kolkata,Golpark,"Sweets, Combo, Desserts, Bengali, Bakery, Beverages",4.2,74,71,71,200,26.10974562
Pyarelal,Kolkata,Lake Town,"Fast, Food, Indian, Tandoor",4,81,75,75,250,27.63501912
Classic fast food centre,Kolkata,North Dumdum,"Indian, Chinese, Mughlai",3.7,73,70,70,200,14.54775484
Hungry Tide,Kolkata,Gariahat,"Chinese, Continental, Fast, Food, Snacks",4.5,71,68,68,350,31.08939651
Momo Daju,Kolkata,BOROUGH,"Chinese, Thai",,85,82,82,300,
Delish bakery,Kolkata,Bidhannagar,Bakery,,67,61,61,500,
Container Kebab By Baba Rafi,Kolkata,Bidhannagar,"Indian, Kebabs, Fast, Food, Beverages",,67,61,61,550,
Maa Karunamoyee fast food centre,Kolkata,Baranagar,Indian,3.7,65,62,62,250,14.54775484
Paris Bakery,Kolkata,Dumdum,"Bakery, Snacks, Indian",,82,76,76,280,
Shawarma City Express,Kolkata,Bidhannagar,Lebanese,3.7,75,69,69,200,17.07594591
Swirls,Kolkata,Bidhannagar,"Desserts, Ice, Cream",3.9,75,69,69,200,15.33411997
Zold Cafe and Kitchen,Kolkata,Golpark,"Pizzas, Fast, Food, Snacks, Pastas, Beverages",,75,72,72,600,
Wok it up,Kolkata,Golpark,"Chinese, Oriental, Pan-Asian",4,75,72,72,300,18.46048207
Ushtaad Ji,Kolkata,Bosepukur,"Chinese, Tibetan",,75,71,71,200,
Urmila,Kolkata,Bidhannagar,"Indian, Chinese, Tandoor, Mughlai",,75,67,67,300,
Yaara Da Dhaba,Kolkata,Kasba,"Indian, North, Indian, Kebabs, Punjabi, Tandoor, Biryani",4.3,75,71,71,400,19.84501822
KRAZZY FOR ICECREAM SUNDAE,Kolkata,Ruby Area,Desserts,,75,71,71,400,
Five Mad Men,Kolkata,Bidhannagar,"Italian, Continental, Chinese",4.2,75,67,67,1000,12.78699424
Bukhara - Biryani Kebabs & Curries,Kolkata,Bidhannagar,"Biryani, Kebabs, North, Indian, Tandoor, Combo",3.8,75,67,67,400,17.53745796
New kalpana mistanna bhander,Kolkata,Lake Gardens,Desserts,4.7,75,71,71,200,32.47114746
Momo World,Kolkata,Golpark,"Tibetan, Chinese",3.8,75,72,72,300,17.53745796
Sweetish House Mafia,Kolkata,Kalighat,"Desserts, Beverages, Ice, Cream, Bakery, Sweets",4.5,77,74,74,400,20.76804233
The Food Story,Kolkata,Lake Town,"Snacks, Pastas, Fast, Food, Combo",,81,75,75,250,
Frytry,Kolkata,South Kolkata,"Fast, Food, Kebabs",,74,71,71,400,
Santa's Fantasea,Kolkata,Gariahat,"Tribal, Seafood, Chinese",4.3,80,77,77,1200,19.84501822
Wabi Sabi,Kolkata,Kalighat,"Indian, Continental, Fast, Food, Mexican",4.5,75,72,72,800,17.69321535
Snack It,Kolkata,South Kolkata,"Indian, Chinese, Bengali, Oriental, Seafood",,87,84,84,250,
Appayan,Kolkata,Dumdum,"Chinese, Combo",,76,70,70,300,
The Tasty Bites,Kolkata,A Unit of M/S Cohort  Ruby Area,"Asian, Indian, Tandoor, Tibetan, Chinese",4.2,67,63,63,300,26.10974562
aamio bengali restaurant,Kolkata,Lake Town,"Bangladeshi, Bengali",,79,73,73,200,
O Asia,Kolkata,Ruby Area,"Chinese, Pan-Asian, Combo, Oriental, Middle, Eastern, Lebanese",,76,72,72,300,
Yummy Paratha,Kolkata,Tiljala,"North, Indian, Beverages, Desserts, Biryani, Indian",4.3,71,67,67,300,19.84501822
The Brewing Leaf,Kolkata,Golpark,"Beverages, Continental, Indian, Thalis, Oriental, Bengali, Snacks",4.2,76,73,73,300,26.10974562
Bong Chinese,Kolkata,Bong Chinese Ruby Area,Asian,4.3,66,62,62,200,16.90685022
Arab Knights,Kolkata,Ruby Area,"Chinese, Combo, Mughlai, Fast, Food, Lebanese, North, Indian, Continental, Pastas",3.2,73,69,69,350,9.742471801
Chilly Culture,Kolkata,Kalighat,"Chinese, Thai, North, Indian",4.3,74,71,71,500,19.84501822
Veerji Malai Chaap Wale,Kolkata,Bidhannagar,"Indian, North, Indian",4,61,55,55,350,18.46048207
The Pan Asian Diner,Kolkata,Golpark,"Chinese, Asian",,82,79,79,400,
Coffee N Mood,Kolkata,South Kolkata,Beverages,,71,68,68,500,
The Bang Onn Cafe,Kolkata,Lake Town,"Chinese, Italian, Continental, Beverages",4,78,72,72,250,12.17808975
Snack 'n' Go,Kolkata,Sinthee,"Indian, Italian, American",3.4,83,77,77,200,10.35137629
RAJ TEA STALL,Kolkata,Jadavpur,"Chinese, Beverages, North, Indian",,80,76,76,50,
SONA CATERER,Kolkata,Jadavpur,"Indian, Fast, Food, Desserts",,76,72,72,200,
VINAYAK KITCHEN,Kolkata,Chetla,Chinese,,76,73,73,300,
Breads and Curries,Kolkata,Golpark,"Bengali, Combo, Thalis, Snacks, Beverages, American, Chinese, Oriental",4.3,78,75,75,300,19.84501822
HAKUNA MATATA,Kolkata,South Kolkata,"Chinese, Indian",,79,76,76,200,
Chapter 2,Kolkata,Golpark,"Continental, European, Italian, Pastas",4.4,75,72,72,1200,27.35306684
Cafe Drifter,Kolkata,Ballygunge,Continental,,78,75,75,650,
Second House,Kolkata,South Kolkata,"North, Indian, Chinese, Kebabs, Biryani, Mughlai",,84,81,81,500,
HASHTAG BANGALI,Kolkata,Lake Town,Bengali,3.1,88,82,82,300,9.438019557
Albela Biriyani,Kolkata,Kasba,Mughlai,4.2,64,60,60,200,12.78699424
Sampa Snacks,Kolkata,Kasba,"Chinese, Indian",3.9,66,62,62,200,17.99897002
Lovely Biriyani,Kolkata,Dumdum,Biryani,,77,71,71,300,
THE OLDE HOUSE EATERY,Kolkata,Bally,Continental,,82,79,79,600,
The Scoop,Kolkata,Bidhannagar,"North, Indian, Chinese, South, Indian, Fast, Food",4.1,70,64,64,400,18.92199412
KIMCHI,Kolkata,Ruby Area,Chinese,4,77,73,73,300,15.72730253
CAFE DARSHANI,Kolkata,Salt Lake,"South, Indian",3.9,66,60,60,280,11.87363751
Momo's Corner - Swimming Pool,Kolkata,Bidhannagar,Tibetan,,69,63,63,100,
Chat Hut - Swimming Pool,Kolkata,Bidhannagar,"Street, Food",4.3,67,61,61,150,19.84501822
Banani's Kitchen,Kolkata,Kalighat,"Indian, Bengali, Fast, Food, Snacks, Home, Food, Pastas",3.3,76,73,73,200,12.97502459
Coffee world,Kolkata,Golpark,Desserts,4.2,74,71,71,400,12.78699424
Indthalia,Kolkata,Golpark,"Continental, Chinese, Indian",3.9,77,74,74,700,11.87363751
Chang's Combos,Kolkata,Baranagar,"Chinese, Combo, Beverages",3.9,69,66,66,300,11.87363751
Terminal 11,Kolkata,Bidhannagar,"Italian, Mexican, Continental",4.3,68,62,62,1100,19.84501822
EKDALIA RD,Kolkata,South Kolkata,"Beverages, Combo, Snacks",,82,79,79,400,
BIRYANI Q&Q,Kolkata,Bidhannagar,"Indian, Biryani, Chinese, Tandoor, Kebabs",,67,61,61,300,
FUSION OF CHINA,Kolkata,Kasba,"Chinese, Combo",4.2,73,69,69,200,12.78699424
99,Kolkata,Golpark,Indian,4.1,77,74,74,300,16.12048509
Soul of Bengal,Kolkata,Golpark,"Bengali, Beverages, Snacks, Sweets, Combo, Thalis, Bangladeshi, Seafood",4.3,77,74,74,300,26.73140623
Tanngo Chutney,Kolkata,Bidhannagar,"South, Indian",4.1,69,63,63,300,18.92199412
HOI-CHOI UNLIMITED,Kolkata,Kasba,"Chinese, North, Indian, Continental, Salads",,77,73,73,500,
Aala Biriyani,Kolkata,Baranagar,"Indian, Biryani",4,67,64,64,200,12.17808975
A1 Haji Fast Food,Kolkata,Baranagar,"Mughlai, Indian, Chinese",3.9,64,61,61,300,24.24476379
The Biryani Inc.,Kolkata,Kasba,"Biryani, Mughlai, Kebabs, North, Indian",4.3,69,65,65,350,29.70764555
Chennai Xpress,Kolkata,Lake Town,"South, Indian, North, Indian, Chinese, Beverages",4.1,74,68,68,300,25.48808501
The Pind punjabi dhaba,Kolkata,Lake Town,"Punjabi, North, Indian, Tandoor, Biryani, Combo",4.3,75,69,69,500,26.73140623
SGF - Spice Grill Flame,Kolkata,Lake Town,"North, Indian, Fast, Food, Chinese",4,76,70,70,250,15.72730253
Lucknow Biryani House,Kolkata,Dum Dum,Indian,3.6,73,67,67,200,14.15457228
Frozen Bottle,Kolkata,Bidhannagar,"Beverages, Ice, Cream, Desserts",4.1,65,59,59,250,12.48254199
Homemade Kitchen Items,Kolkata,Kasba,"Biryani, Indian, Continental, Fast, Food",,78,74,74,300,
CRAZY CHAAP CORNER,Kolkata,Lake Town,"Tandoor, Chinese, Beverages",,85,79,79,300,
Dhabawale,Kolkata,Bidhannagar,"Indian, Tandoor, Thalis",3.9,68,62,62,300,24.24476379
Krazee Kulcha,Kolkata,Bidhannagar,Indian,4,69,63,63,400,12.17808975
Kolkata Fries,Kolkata,Baranagar,"Fast, Food, American, Biryani, Lebanese, Indian",4.4,94,91,91,200,13.39589873
Dariole,Kolkata,Bidhannagar,"Bakery, Desserts",4.4,60,54,54,150,20.30653027
Sharma Snacks,Kolkata,Kasba,"Beverages, Chaat",4.2,66,62,62,100,29.01677007
37 RELISH ROUTE,Kolkata,South Kolkata,"Bengali, Continental",,82,79,79,200,
MASTEA,Kolkata,Lake Town,"Continental, Chinese, Italian",4.3,78,72,72,300,13.09144648
DOUBLE TROUBLE,Kolkata,Lake Town,"Chinese, Beverages, Juices",4.2,81,75,75,250,12.78699424
Teekha,Kolkata,Salt Lake,"Indian, Fast, Food, Mexican, Continental, Beverages",4.3,68,62,62,500,13.09144648
Hurried & Hungry,Kolkata,North Dumdum,"Chinese, Snacks",,69,66,66,200,
ISLAND OF CREAMS,Kolkata,Bangur,"Ice, Cream, Desserts",,80,74,74,98,
Officer's Kitchen,Kolkata,Kasba,"Chinese, Indian, Tandoor",4.2,72,68,68,250,26.10974562
Mezban Biryani,Kolkata,Lake Town,"Biryani, Combo, Beverages",,83,77,77,100,
Ketana,Kolkata,Lake Town,Indian,4.4,78,72,72,250,20.30653027
Hunger Twister,Kolkata,Lake Town,Chinese,4.6,74,68,68,250,14.00480321
Dugout avenue sports foundation,Kolkata,Ballygunge,Indian,,79,76,76,500,
SAVISTER,Kolkata,Lake Town,"Snacks, Beverages",4.3,87,81,81,250,13.09144648
OLD MONKS,Kolkata,Lake Market,"Snacks, Chinese, Indian",,76,73,73,500,
Vdesi Addicts,Kolkata,Lake Town,Pastas,,82,76,76,350,
Pappadam Coastal Delicacies,Kolkata,Kalighat,Coastal,4.3,79,76,76,750,16.90685022
My Hangout,Kolkata,Kalighat,"Chinese, Continental, Italian, Seafood",,82,79,79,500,
Berlin Burgers,Kolkata,Salt Lake,"Fast, Food, Seafood",4.7,72,66,66,400,14.30925546
Biryanishk by The Biryani Company,Kolkata,Kalighat,"Indian, Biryani",4.1,77,74,74,700,16.12048509
Lokenath Restaurant,Kolkata,Baranagar,Indian,3.9,66,63,63,250,17.99897002
Puchkaman,Kolkata,Golpark,"Fast, Food",3.5,77,71,71,150,13.76138971
MEMORIOUS INDIA,Kolkata,Dum Dum,"Indian, Chinese",,79,73,73,400,
Khawabo Jatane Fast Food,Kolkata,Dum Dum,"Chinese, Mughlai, North, Indian",4.3,88,82,82,200,13.09144648
GITA RANIS SUSWADU HESEL,Kolkata,Dum Dum,Indian,2.8,84,78,78,200,8.524662826
KALPANAS KITCHEN,Kolkata,Baranagar,"Indian, Chinese, Combo",4.2,77,74,74,400,16.51366766
Courting Coffees,Kolkata,Bidhannagar,Continental,4.6,74,68,68,300,18.08639791
Starter Barter,Kolkata,Dumdum,"Chinese, Seafood",,85,79,79,500,
Red Kitchen & Lounge,Kolkata,Alipore,"North, Indian, Chinese",4,82,79,79,1000,12.17808975
Sigree,Kolkata,Bidhannagar,"North, Indian, Biryani",4.2,82,76,76,900,16.51366766
South Indian Cafe,Kolkata,Kalighat,"South, Indian",4,83,80,80,120,12.17808975
Peep Inn,Kolkata,Kalighat,"Chinese, North, Indian",3.9,74,71,71,400,15.33411997
Khatirdari,Kolkata,Lake Town,"North, Indian, Chinese, Continental",3.7,82,76,76,300,11.26473302
MOU DELICIOUS KITCHEN,Kolkata,Dum Dum,"Indian, Chinese, Bengali, North, Indian, Fast, Food, Snacks",4,90,84,84,150,18.46048207
Gangotri,Kolkata,Bidhannagar,"Street, Food, North, Indian, South, Indian",4.3,67,61,61,300,19.84501822
Tandoor Park,Kolkata,Selimpur,"Indian, Tandoor, Chinese",4.4,79,75,75,600,30.39852103
Burger In Law,Kolkata,Kasba,"American, Fast, Food, Beverages",4.3,76,72,72,350,26.73140623
Kasba Korner,Kolkata,Kasba,"Indian, Chinese, Combo, Biryani",3.8,74,70,70,300,23.62310318
Noodle Oodle,Kolkata,Dum Dum,Chinese,4.1,83,77,77,600,18.92199412
Punjabi Zaika,Kolkata,East Kolkata Township,"North, Indian",3.9,78,74,74,300,17.99897002
Dhaka Biryani House,Kolkata,Baranagar,"Biryani, Indian, Mughlai, Chinese",4.1,64,61,61,500,18.92199412
THE PARKING,Kolkata,Ruby Area,"Chinese, Tandoor, Fast, Food, Mughlai, Combo, Beverages",4.3,73,69,69,200,16.90685022
Aamar Bangla,Kolkata,Dum Dum,"Bangladeshi, Bengali",4.2,74,68,68,250,26.10974562
CHAURASIA PAN SHOP,Kolkata,Amarpalli,Paan,4.4,74,68,68,100,17.30003278
Bangali Bhoj,Kolkata,Chetla,Bengali,3.9,77,74,74,250,17.99897002
SUTRIPTI MISTANNA BHANDER,Kolkata,Baranagar,Sweets,,79,73,73,100,
Haveli,Kolkata,Bidhannagar,Indian,4,73,67,67,1200,15.72730253
SLAY Coffee,Kolkata,Sector V Salt Lake,"Beverages, Desserts",4.3,70,62,62,200,19.84501822
C4U,Kolkata,North Dumdum,"Chinese, Snacks",,70,67,67,200,
CAKE WIZARD,Kolkata,Kasba,Bakery,,76,73,73,700,
Rendezvous - Monotel,Kolkata,Bidhannagar,"Italian, Chinese, Desserts, Continental, Indian",4.4,76,68,68,500,13.39589873
PlateOnic,Kolkata,Bidhannagar,"Chinese, Thai",4.4,72,66,66,500,20.30653027
Moonlight Sonata,Kolkata,Dhakuria,"Indian, Chinese",4,84,80,80,250,18.46048207
Marhaba,Kolkata,Selimpur,"Mughlai, Indian, Tandoor, Biryani",4.2,81,77,77,400,16.51366766
Aso Basi Pasapasi Kichukhan,Kolkata,Dumdum,"North, Indian, Chinese",,90,84,84,200,
Perfect bite,Kolkata,Dumdum,"Chinese, Indian, Snacks",,93,87,87,200,
Abar Khabo One,Kolkata,Ruby Area,"Indian, Chinese",4.6,74,70,70,100,18.08639791
GOURI SNACKS,Kolkata,South Dumdum,Biryani,,81,75,75,200,
Scone (Multicuisine Unit),Kolkata,Salt Lake City,"Indian, Chinese",4.4,73,67,67,300,17.30003278
MEHFIL,Kolkata,Dumdum,"Chinese, North, Indian, Tandoor",,84,78,78,250,
Blues - the food point,Kolkata,East Kolkata Township,"Indian, Mughlai, Chinese, Biryani, Fast, Food, Punjabi",,82,78,78,200,
eRestro,Kolkata,Dhakuria,"Chinese, Biryani, Tandoor, Indian",4.5,90,86,86,400,20.76804233
Flavour  Town,Kolkata,East Kolkata Township,Chinese,,76,72,72,200,
AHAR AMAZE,Kolkata,South Kolkata,"Indian, Chinese",,81,78,78,200,
Hirak Rajar Deshe,Kolkata,Jodhpur Park,Bengali,,86,82,82,200,
Shahi Dum Pukht,Kolkata,Dumdum,"North, Indian",3.7,83,77,77,250,11.26473302
Cakes by Mama Mia!,Kolkata,Salt Lake,"Bakery, Desserts",,69,63,63,300,
Parathawala,Kolkata,Kasba,"North, Indian, South, Indian, Punjabi",3.7,78,74,74,250,11.26473302
Meraki Kitchen,Kolkata,Ruby park,"Chinese, North, Indian, Indian, Tandoor",,76,72,72,300,
The Food Chain,Kolkata,Dhakuria,"Fast, Food, Chinese",3.7,81,77,77,250,11.26473302
I AM HUNGRY,Kolkata,North Dumdum,Chinese,,76,73,73,200,
Hatari,Kolkata,Ruby Area,"Chinese, Biryani, North, Indian",4.3,77,73,73,400,26.73140623
Kolkata@99,Kolkata,Bidhannagar,Indian,3.8,73,67,67,200,32.36609405
Tandoori Pitara,Kolkata,Kestopur,"Indian, North, Indian, Punjabi, Tandoor, Biryani, Kebabs, Desserts",,80,80,80,400,
THE CANTEEN by Asia House,Kolkata,Ballygunge,Asian,4.3,80,77,77,800,16.90685022
KWALITY WALLS,Kolkata,Sector V Salt Lake,"Ice, Cream, Beverages",,80,72,72,200,
