name,city,area,cuisines_clean,rating_clean,cost_two_clean,visibility_index,Platform,value_for_money
Bamey's Restro Cafe,Bangalore,Koramangala,"Chinese, Thai, Nepalese",4.4,400,20.30653027,Swiggy,0.011
Chuckling Chinese,Bangalore,Koramangala,"Chinese, Fast, Food",4.1,300,18.92199412,Swiggy,0.013666667
Misu,Bangalore,Ashok Nagar,"Pan-Asian, Chinese, Vietnamese, Malaysian, Desserts, Singaporean, Sushi",4.4,1300,20.30653027,Swiggy,0.003384615
A NAIDU'S OOTADA MANE,Bangalore,Indiranagar,Indian,3.6,250,14.15457228,Swiggy,0.0144
Bob's Bar,Bangalore,Indiranagar,"South, Indian, North, Indian, Fast, Food, Desserts",4.3,300,19.84501822,Swiggy,0.014333333
Cakewala,Bangalore,Jayanagar,Desserts,4.3,450,19.84501822,Swiggy,0.009555556
Eden Park,Bangalore,Shivaji Nagar,"North, Indian, Chinese, Seafood, Andhra, Biryani, Desserts, Jain, Mughlai, South, Indian, Coastal, Beverages",4.2,1000,19.38350617,Swiggy,0.0042
Kodial Cafe ( We Use Ideal Icecream ) Malleshwaram,Bangalore,Malleshwaram,"Mangalorean, Ice, Cream, Snacks",4.3,250,16.90685022,Swiggy,0.0172
Shyvan Fast Food,Bangalore,Langford Gardens,"North, Indian, Chinese",4.7,200,14.30925546,Swiggy,0.0235
Nadan Pothichoru,Bangalore,Koramangala,"South, Indian, Kerala, Biryani",3.4,200,13.36820715,Swiggy,0.017
Go Native,Bangalore,Ashok Nagar,"Healthy, Food, Jain, North, Indian, South, Indian",4.2,600,19.38350617,Swiggy,0.007
Kund Indian Barbeque,Bangalore,Indiranagar,"Mughlai, North, Indian, Biryani, Kebabs, Desserts",4.2,200,19.38350617,Swiggy,0.021
La Heaven,Bangalore,Malleshwaram,"Desserts, Bakery, Beverages",4.1,384,18.92199412,Swiggy,0.010677083
Chichabas Taj,Bangalore,Pulikeshi Nagar,"Mughlai, North, Indian, Biryani",4.2,532,19.38350617,Swiggy,0.007894737
Andhra Mess,Bangalore,Domlur,"Andhra, South, Indian, Biryani, Chinese, Hyderabadi",3.7,250,17.07594591,Swiggy,0.0148
Happy Belly Bakes- Cakes and Desserts,Bangalore,Ashok Nagar,"Desserts, Bakery, Beverages",4.7,350,21.69106643,Swiggy,0.013428571
SWAGAT RESTAURANT,Bangalore,Rajajinagar,"Indian, Beverages, Ice, Cream",4.1,350,12.48254199,Swiggy,0.011714286
Maiyas Restaurants,Bangalore,Jayanagar,"South, Indian, Fast, Food",4.3,250,26.73140623,Swiggy,0.0172
LeanCrust Pizza - ThinCrust Experts,Bangalore,New Tippasandra,"Pizzas, Italian",3.5,350,13.76138971,Swiggy,0.01
MANTAP ICE CREAM,Bangalore,Seshadripuram,"Ice, Cream",4.7,200,14.30925546,Swiggy,0.0235
Fishland,Bangalore,Gandhi Nagar,"Seafood, North, Indian, Chinese",4.4,500,17.30003278,Swiggy,0.0088
Singh Da Punjabi Dhaba,Bangalore,Koramangala,"Punjabi, Tandoor, Chinese",3.8,200,17.53745796,Swiggy,0.019
Brahmins' Thatte Idli,Bangalore,Malleshwaram,"South, Indian, Combo",4.4,150,27.35306684,Swiggy,0.029333333
